heuristic,map_id,start_pos,end_pos,path_length,total_cost,execution_time,path_found,nodes_explored,heuristic_calls
Manhattan,703372,"(177, 65)","(148, 347)",337,831.348959769194,0.2675962448120117,True,12980,13246
Chebyshev,703372,"(177, 65)","(148, 347)",337,831.348959769194,0.26615190505981445,True,12994,13171
Euclidea,703372,"(151, 150)","(149, 322)",173,389.8006896750759,0.1898655891418457,True,8278,8626
Manhattan,703372,"(151, 150)","(149, 322)",173,389.8006896750759,0.158050537109375,True,7593,7998
Chebyshev,703372,"(151, 150)","(149, 322)",173,389.8006896750759,0.17383790016174316,True,8399,8736
Euclidea,703372,"(169, 313)","(163, 123)",208,520.5448637695339,0.24118351936340332,True,10544,10752
Manhattan,703372,"(169, 313)","(163, 123)",208,520.5448637695339,0.22206616401672363,True,10491,10866
Chebyshev,703372,"(169, 313)","(163, 123)",208,520.5448637695339,0.2286365032196045,True,10639,10875
Euclidea,703372,"(153, 123)","(198, 177)",103,254.62933203783865,0.11369132995605469,True,4868,5156
Manhattan,703372,"(153, 123)","(198, 177)",103,254.62933203783865,0.09218811988830566,True,4410,4605
Chebyshev,703372,"(153, 123)","(198, 177)",103,254.62933203783865,0.10686326026916504,True,5153,5400
Euclidea,703372,"(153, 34)","(196, 469)",476,1078.2985205587324,0.44826579093933105,True,20119,20205
Manhattan,703372,"(153, 34)","(196, 469)",476,1078.2985205587324,0.4398810863494873,True,21379,21511
Chebyshev,703372,"(153, 34)","(196, 469)",476,1078.2985205587324,0.4125354290008545,True,20088,20169
Euclidea,703372,"(143, 351)","(150, 19)",337,815.87361195368,0.4399394989013672,True,19734,19951
Manhattan,703372,"(143, 351)","(150, 19)",337,815.87361195368,0.40673160552978516,True,19754,20003
Chebyshev,703372,"(143, 351)","(150, 19)",337,815.87361195368,0.4135408401489258,True,19848,20042
Euclidea,703381,"(49, 243)","(266, 217)",441,804.043727544907,1.3588027954101562,True,56877,57853
Manhattan,703381,"(49, 243)","(266, 217)",441,804.043727544907,1.8391244411468506,True,81746,83180
Chebyshev,703381,"(49, 243)","(266, 217)",441,804.043727544907,1.2914690971374512,True,56949,57842
Euclidea,703381,"(206, 424)","(47, 204)",345,699.6725876800941,1.102304220199585,True,46160,47037
Manhattan,703381,"(206, 424)","(47, 204)",345,699.927550329432,1.3370051383972168,True,58762,60658
Chebyshev,703381,"(206, 424)","(47, 204)",345,699.6725876800941,1.0872585773468018,True,48682,49545
Euclidea,703381,"(50, 91)","(258, 180)",296,687.4073004872904,0.45909643173217773,True,19766,20072
Manhattan,703381,"(50, 91)","(258, 180)",296,687.4073004872904,0.5628130435943604,True,25923,26251
Chebyshev,703381,"(50, 91)","(258, 180)",296,687.4073004872904,0.47351837158203125,True,21973,22391
Euclidea,703381,"(56, 105)","(51, 415)",332,629.84831578026,0.49512743949890137,True,20029,20514
Manhattan,703381,"(56, 105)","(51, 415)",332,629.84831578026,0.5161263942718506,True,22710,23229
Chebyshev,703381,"(56, 105)","(51, 415)",332,629.84831578026,0.464550256729126,True,20722,21157
Euclidea,703381,"(257, 407)","(268, 294)",221,370.4307088260216,0.3153691291809082,True,13077,13480
Manhattan,703381,"(257, 407)","(268, 294)",221,370.43070882602154,0.33347082138061523,True,14873,15160
Chebyshev,703381,"(257, 407)","(268, 294)",221,370.4307088260216,0.3362314701080322,True,14983,15342
Euclidea,703381,"(219, 294)","(247, 174)",138,218.80898637301095,0.21808528900146484,True,9054,9729
Manhattan,703381,"(219, 294)","(247, 174)",138,218.80898637301095,0.25269055366516113,True,11442,12028
Chebyshev,703381,"(219, 294)","(247, 174)",138,218.80898637301095,0.24059367179870605,True,10515,11233
Euclidea,703381,"(174, 212)","(69, 170)",0,inf,0.30458927154541016,False,12732,12732
Manhattan,703381,"(174, 212)","(69, 170)",0,inf,2.5381176471710205,False,112784,112784
Chebyshev,703381,"(174, 212)","(69, 170)",0,inf,0.25899839401245117,False,11778,11778
Euclidea,703381,"(94, 74)","(229, 193)",0,inf,0.4609990119934082,False,19085,19085
Manhattan,703381,"(94, 74)","(229, 193)",0,inf,8.277164220809937,False,367057,367057
Chebyshev,703381,"(94, 74)","(229, 193)",0,inf,0.414792537689209,False,18476,18476
Euclidea,703381,"(93, 208)","(172, 277)",0,inf,1.515054702758789,False,64147,64147
Manhattan,703381,"(93, 208)","(172, 277)",0,inf,2.1119399070739746,False,93909,93909
Chebyshev,703381,"(93, 208)","(172, 277)",0,inf,1.4019944667816162,False,62825,62825
Euclidea,703381,"(85, 224)","(253, 217)",341,741.2246218916428,1.3320033550262451,True,55625,56580
Manhattan,703381,"(85, 224)","(253, 217)",341,741.2246218916428,1.695284366607666,True,74844,76085
Chebyshev,703381,"(85, 224)","(253, 217)",341,741.2246218916428,1.2690608501434326,True,56277,57192
Euclidea,703381,"(116, 231)","(50, 275)",85,174.2375223683294,0.08651566505432129,True,3524,3672
Manhattan,703381,"(116, 231)","(50, 275)",85,174.23752236832937,0.08534669876098633,True,3706,3916
Chebyshev,703381,"(116, 231)","(50, 275)",85,174.2375223683294,0.0782010555267334,True,3632,3844
Euclidea,703381,"(207, 369)","(258, 339)",70,119.35079375452297,0.04819202423095703,True,1989,2135
Manhattan,703381,"(207, 369)","(258, 339)",70,119.35079375452297,0.05269622802734375,True,2357,2562
Chebyshev,703381,"(207, 369)","(258, 339)",70,119.35079375452297,0.04420351982116699,True,2050,2152
Euclidea,703381,"(238, 229)","(166, 391)",210,468.7571127956369,0.6255679130554199,True,26361,26958
Manhattan,703381,"(238, 229)","(166, 391)",210,468.7571127956369,0.6803061962127686,True,30615,31349
